Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1281	176,9333333	37,83870968	19,73333333	18,1	494,1103412	172,7586207	106,4892678	5,37037037	2,554076503	0,155360005
1280	175,4666667	37,74193548	19,7	18	494,4787184	172,5517241	106,9513821	5,481481481	2,559666231	0,071320525
1279	175,2	37,5483871	19,56666667	17,93333333	494,2750869	170,6206897	107,3997001	5,962962963	2,558716167	0,071320525
1278	174,9333333	37,25806452	19,33333333	17,86666667	495,1720505	170,2068966	106,498298	5,703703704	2,563322218	0,029300785
1277	174,7666667	37,19354839	19,26666667	17,86666667	496,2135259	170,1034483	108,0985288	6,037037037	2,572485647	-0,012718955
1276	174,5666667	36,87096774	19,23333333	17,7	494,6749187	169,6551724	106,0530427	5,407407407	2,576609789	0,029300785
1275	173,4666667	36,74193548	19,13333333	17,66666667	493,8479388	169,2758621	105,9496257	6,37037037	2,584731934	-0,012718955
1274	172,8666667	36,67741935	19,06666667	17,66666667	493,4306399	168,0344828	107,3008231	5,666666667	2,585952445	0,029300785
1273	173,0666667	36,29032258	18,83333333	17,56666667	492,9652768	168	106,3358198	5,481481481	2,589047481	0,113340265
1272	175,0666667	36,32258065	18,8	17,66666667	493,409344	168,4827586	107,208412	5,185185185	2,584218099	0,155360005
1271	175,3666667	36,32258065	18,8	17,66666667	494,1567494	169,5862069	106,5023628	6,407407407	2,590668683	0,197379745
1270	175,9333333	36,29032258	18,8	17,63333333	494,7650445	170,3103448	106,7453894	5,333333333	2,590186214	0,197379745
1269	176,1666667	36,48387097	18,8	17,83333333	495,8131572	170,8965517	106,4774513	6,148148148	2,595567929	0,239399485
1268	176,2333333	36,61290323	18,86666667	17,9	495,0200052	170,6206897	105,3422624	5,592592593	2,599839821	0,281419226
1267	175,2666667	36,64516129	18,86666667	17,9	495,5518195	171,7931034	104,9848334	5,111111111	2,603523226	0,323438966
1266	174,7666667	36,51612903	18,8	17,83333333	495,8288984	171,5862069	104,9904589	4,407407407	2,601506835	0,365458706
1265	174,6	36,5483871	18,86666667	17,8	495,7007055	170,8965517	105,0511869	5,111111111	2,601669407	0,407478446
1264	173,2333333	36,61290323	18,93333333	17,8	496,0257657	170,7241379	106,0906305	5,444444444	2,60519619	0,449498186
1263	173,4333333	36,74193548	18,93333333	17,93333333	497,0343261	169,3793103	104,6511523	4,740740741	2,604699008	0,491517926
1262	174,0333333	36,67741935	18,93333333	17,86666667	496,4681397	169,8965517	104,0681985	5,444444444	2,604206757	0,575557406
1261	173,7	36,58064516	18,9	17,8	495,304876	170,6896552	105,9682387	5,333333333	2,603997892	0,701616627
1260	172,7	36,51612903	18,8	17,83333333	495,6281499	169,4137931	105,5499727	5,333333333	2,606996742	0,785656107
1259	171,3	36,67741935	18,86666667	17,9	495,7571261	168,9310345	105,6949517	4,518518519	2,605012066	1,037774547
1258	170,2666667	36,64516129	18,76666667	17,96666667	496,6980505	167,6206897	105,8463442	4,518518519	2,60251427	1,163833768
1257	171,3	36,70967742	18,76666667	18,03333333	495,6191261	167,2068966	105,0753791	4,444444444	2,595995598	1,247873248
1256	171,4333333	36,80645161	18,8	18,13333333	497,2860974	167,7241379	105,21089	4,962962963	2,595095991	1,331912728
1255	171,9	36,83870968	18,8	18,16666667	497,4873303	168,2068966	105,6141786	3,962962963	2,589323592	1,499991688
1254	170,8	36,67741935	18,7	18,1	497,3168248	168,2413793	106,2239353	4,518518519	2,588399775	1,584031169
1253	170,4666667	36,5483871	18,7	18,03333333	496,8456836	167,6206897	104,6840264	4,148148148	2,585479289	1,668070649
1252	171,2666667	36,41935484	18,63333333	17,96666667	497,2349287	167,1724138	105,1008694	4,333333333	2,581216843	1,752110129
1251	170,7	36,51612903	18,76666667	17,93333333	497,2889675	167,5862069	106,2695441	4,074074074	2,567209273	1,96220883
1250	171,3333333	36,51612903	18,7	18	498,57904	167,137931	106,0876293	4,481481481	2,562341928	2,17230753
1249	171,3333333	36,41935484	18,53333333	18,03333333	499,1678035	167,8965517	105,5095145	4,074074074	2,560347732	2,21432727
1248	171,3333333	36,19354839	18,43333333	17,9	499,0785073	167,7586207	105,582887	3,703703704	2,554827129	2,21432727
1247	172,1666667	36,25806452	18,46666667	17,93333333	498,987512	167,5172414	106,3742836	4,185185185	2,549828455	2,17230753
1246	170,9333333	36,09677419	18,43333333	17,86666667	498,4584379	168,1034483	106,8206222	4,111111111	2,54726395	2,08826805
1245	169,4333333	36,09677419	18,46666667	17,83333333	497,6059934	168,0689655	106,3858319	3,666666667	2,542110172	2,04624831
1244	169,3333333	36,06451613	18,36666667	17,9	500,7644122	166,137931	105,2878422	3,407407407	2,537660054	2,00422857
1243	169,5333333	35,90322581	18,23333333	17,86666667	502,4359327	165,3103448	105,9653147	3,518518519	2,530614349	1,96220883
1242	170,2333333	36,03225806	18,33333333	17,86666667	503,0973522	165,3448276	105,6420863	4,296296296	2,52701114	1,92018909
1241	169,4666667	35,96774194	18,33333333	17,8	503,0259331	166,5862069	104,910728	4,296296296	2,527593666	2,13028779
1240	168,8333333	35,80645161	18,2	17,76666667	505,0763368	165,6896552	105,8370476	3,555555556	2,5248925	1,878169349
1239	169,5	35,87096774	18,23333333	17,8	507,6116355	165,137931	106,2244081	3,259259259	2,518236621	1,836149609
1238	168	35,80645161	18,13333333	17,83333333	508,4163946	165,862069	106,108162	3,888888889	2,516719163	1,794129869
1237	168,1	35,64516129	18,1	17,73333333	507,414925	164	105,4807388	3,592592593	2,511376317	1,752110129
1236	167,4666667	35,58064516	18,03333333	17,73333333	507,6386716	164	105,9403279	4,259259259	2,516264676	1,668070649
1235	168,0666667	35,48387097	17,9	17,76666667	508,9364427	163,4827586	106,0261406	4,296296296	2,513817954	1,499991688
1234	167,8666667	35,5483871	17,96666667	17,76666667	509,4619407	164,2068966	104,8207062	4	2,509948843	1,415952208
1233	167,0666667	35,61290323	18	17,8	508,9425915	163,7931034	105,1482969	4,518518519	2,507803663	1,331912728
1232	166,9666667	35,4516129	17,9	17,73333333	508,3462195	163,0344828	105,4866443	4,481481481	2,509785818	1,247873248
1231	166,5333333	35,4516129	17,9	17,73333333	508,9695289	162,8275862	105,8582839	4,518518519	2,510813863	1,163833768
1230	165,7	35,48387097	17,93333333	17,73333333	508,3631227	162,7241379	104,8971069	4,703703704	2,514334584	1,079794287
1229	165,6	35,5483871	18	17,73333333	509,0362428	161,7931034	105,0872172	4,333333333	2,513511099	1,037774547
1228	166,5666667	35,5483871	17,96666667	17,76666667	508,5414595	161,4482759	104,1952215	4,481481481	2,513627013	1,037774547
1227	165,9333333	35,41935484	17,9	17,7	508,9675888	163,0689655	104,6515473	4,814814815	2,515285565	1,079794287
1226	165,9666667	35,35483871	17,8	17,73333333	508,9805874	161,9655172	105,6189181	5,111111111	2,517114641	1,037774547
1225	165,9333333	35,4516129	17,73333333	17,9	511,3319632	162,137931	104,6092503	4,703703704	2,51964149	1,037774547
1224	165,8666667	35,41935484	17,76666667	17,86666667	510,557018	162,4827586	104,607656	4,407407407	2,521266434	1,079794287
1223	165,1333333	35,51612903	17,76666667	17,96666667	511,9380726	162,6206897	104,372582	4,666666667	2,522006502	0,953735067
1222	165,4	35,4516129	17,66666667	18	511,1735781	161,7586207	104,760616	3,962962963	2,521822757	0,995754807
1221	164,9333333	35,58064516	17,73333333	18,06666667	511,508818	162,3103448	105,7890704	4,296296296	2,521734849	0,995754807
1220	165,2333333	35,5483871	17,76666667	18	511,169596	161,5517241	105,7093457	4,407407407	2,52362551	0,995754807
1219	164,8666667	35,41935484	17,66666667	17,96666667	511,6695895	162,1724138	105,6815843	4,259259259	2,522624159	0,995754807
1218	164,6	33,74193548	15,86666667	18,13333333	521,0973371	149,4137931	90,31821954	14,18518519	2,523693569	1,037774547
1217	163,6666667	32,32258065	14,63333333	17,93333333	533,1445697	150,4827586	88,34428701	12,25925926	2,534061912	1,037774547
1216	165,0333333	31,38709677	13,7	17,9	544,1404176	147,5517241	84,85091522	12,33333333	2,538487292	1,037774547
1215	164,3333333	30,61290323	12,9	17,9	550,7490412	148,6206897	82,79909923	10,48148148	2,549372031	1,037774547
1214	163	30,09677419	12,23333333	18,03333333	553,6506131	145,3448276	79,34874896	10,22222222	2,563791457	0,995754807
1213	162,5	29,32258065	11,43333333	18,06666667	555,9161341	141,6206897	78,40547671	10,14814815	2,564198385	0,911715327
1212	162,1	28,77419355	10,86666667	18,06666667	558,2952539	142,4827586	79,04435402	10,25925926	2,571401903	0,911715327
1211	161,1333333	28,03225806	10,33333333	17,93333333	567,3313599	144,5862069	76,29974665	7,185185185	2,580533681	0,911715327
1210	160,8	27,64516129	9,966666667	17,9	570,2227366	141,5862069	74,91081481	8,074074074	2,583436115	0,869695587
1209	160,8	27,35483871	9,666666667	17,86666667	572,0573304	137,6896552	71,30201654	8,185185185	2,582378735	0,827675847
1208	158,7333333	27,19354839	9,6	17,7	571,8788887	138,3103448	70,8913101	8,185185185	2,588715766	0,785656107
